DENOMINAZIONE,STATOPATRIMONIALE,CONDGIUR,CESPITE,DAL,INDIRIZZO,RES11,FON11,RES3112,FON3112,STORICOCF,QUOTA,COMUNECATASTALE,FOGLIO,PARTICELLA,SUBALTERNO,SUPERFICIE,QUALITA
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO - VIA LEQUILE, SNC - LECCE - ALLOGGIO - FG. 238 P.LLA 1305 SUB. 51",01/01/2019,"LEQUILE, Piano T","55.876,52€","4.858,84€","54.661,81€","6.073,55€",-   €,"1.214,71€",LECCE,238,1305,51,0,A/10 - UFFICI O STUDI PRIVATI
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"STAZIONE FERROVIARIA P.LLA 1319 - VIA MICHELE MASSARI, SNC - LECCE - STAZIONE FERROVIARIA - FG. 238 P.LLA 1319 SUB. 1",01/01/2019,"MICHELE MASSARI, Piano T-1","93.336,81€","6.634,35€","91.337,39€","8.633,77€",-   €,"1.999,42€",LECCE,238,1319,1,0,D/7  - FABBR. PER SPEC. ESIGENZE INDUSTR
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"...FABBRICATO PARTICOLARE - VIA DEL NINFEO, SNC - LECCE - FABBRICATO PARTICOLARE - FG. 238 P.LLA 1398 SUB. 1",01/01/2019,"DEL NINFEO, SNC Piano T","237.790,56€","20.677,44€","232.621,20€","25.846,80€",-   €,"5.169,36€",LECCE,238,1398,1,0,E/9  - EDIF. A DESTINAZIONI PARTICOLARI
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"...LABORATORI - VIA VITTORIO DEI PRIOLI, 1 - LECCE - LABORATORI - FG. 259 P.LLA 127 SUB. 1",01/01/2019,"CORTE CONTE ACCARDO, 1 Piano T","43.248,66€","3.760,76€","42.308,47€","4.700,95€",-   €,"940,19€",LECCE,259,127,1,0,C/3  - LABORATORI PER ARTI E MESTIERI
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"DEPOSITO - VIA ABRAMO BALMES, SNC - LECCE - DEPOSITO - FG. 259 P.LLA 557 SUB. 11",01/01/2019,"ABRAMO BALMES, SNC Piano T","42.197,37€","3.669,32€","41.280,04€","4.586,65€",-   €,"917,33€",LECCE,259,557,11,0,C/2  - MAGAZZINI E LOCALI DI DEPOSITO
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"FABBRICATO PER SPEC. ESIGENZE PUBBL. - VIA SALVATORE TRINCHESE, SNC - LECCE - FABBRICATO PER SPEC. ESIGENZE PUBBL. - FG. 259 P.LLA 4783",01/01/2019,"SALVATORE TRINCHESE, SNC Piano S1 - T","22.051,14€","1.917,48€","21.571,77€","2.396,85€",-   €,"479,37€",LECCE,259,4783,,0,E/3  - FABBR. PER SPEC. ESIGENZE PUBBL.
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"RIFUGIO ANTIAEREA DA FEDERALISMO DEMANIALE - VIA VILLA GLORIA, SNC - LECCE - RIFUGIO ANTIAEREA - FG. 259 P.LLA 5993",01/01/2019,"VILLA GLORIA, Piano S1",-   €,-   €,-   €,-   €,-   €,-   €,LECCE,259,5993,,0,F/2  - UNITÀ COLLABENTI
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,DISPONIBILE,"FABB.IN CORSO DI COST.''POL.SOC.AMB.TERRITORIALE SOCIALE'' - VIA PISTOIA, VIA SAN MASSIMILIANO KOLBE, SNC - LECCE - FABBRICATO IN CORSO DI COSTRUZIONE - FG. 198 P.LLA 633",21/05/2021,"SAN MASSIMILIANO KOLBE, SN Piano S1-T","2.985,44€","190,56€","2.921,92€","254,08€",-   €,"63,52€",LECCE,198,633,,0,F/3  - UNITÀ IN CORSO DI COSTRUZIONE
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,BENE CONFISCATO - EX MASSERIA GHERMI - CENTRO ACCOGLIENZA - CROCE ROSSA STRADA PROVINCIALE 94 - FG 137 - MAP 558 SUB 2-1,02/01/2022,,,,,,,,LECCE,137,558,2,0,"B/1  - COLLEGI, OSPIZI, CASERME, CONVEN."
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,BENE CONFISCATO - EX MASSERIA GHERMI - CENTRO ACCOGLIENZA - CROCE ROSSA STRADA PROVINCIALE 94 - FG 137 - MAP 558 SUB 2-1,02/01/2022,,"245.472,60€","5.009,65€","240.462,95€","10.019,30€","44.297,70€","5.009,65€",LECCE,137,558,1,0,"B/1  - COLLEGI, OSPIZI, CASERME, CONVEN."
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,IMMOBILI VIALE VESPUCCI - FG 168 - MAP 531,28/04/2021,,"31.590,55€","1.316,28€","30.932,41€","1.974,42€",-   €,"658,14€",LECCE,168,531,,0,C/3  - LABORATORI PER ARTI E MESTIERI
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"IMMOBILI EX ERSAP FABB FRIGOLE MARE, VIA LUNGOMARE MORI, FG 84 - MAP 145",15/09/2023,LUNGOMARE MORI,-   €,-   €,"51.629,79€","1.053,67€",-   €,"1.053,67€",LECCE,84,145,,0,C/2  - MAGAZZINI E LOCALI DI DEPOSITO
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,FONTANE - FONTANE,02/01/2023,,-   €,-   €,"30.870,00€","630,00€",-   €,"630,00€",,,,,0,
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"IMMOBILI EX ERSAP - EX SCUOLA MATERNA BORGO PIAVE VIA MIANI, FG 111 - MAP 49 SUB 2",15/09/2023,MIANI,-   €,-   €,"776.150,34€","15.839,80€",-   €,"15.839,80€",LECCE,111,49,2,0,B/4  - UFFICI PUBBLICI
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"IMMOBILI EX ERSAP - EX SCUOLA MATERNA BORGO PIAVE VIA MIANI, FG 111 - MAP 49 SUB 1",15/09/2023,MIANI,-   €,-   €,-   €,-   €,-   €,-   €,LECCE,111,49,1,0,E/7  - FABBR. PER ESERCIZIO DEI CULTI
