anno,tributo,gettito_euro,n_contribuenti,aliquota_base,descrizione,categoria
2015,IMU,196787.23,,,"Aliquota base, ammontare versamenti spontanei",Abitazione principale
2015,IMU,37539179.0,,,"Aliquota base, ammontare versamenti spontanei",Altri immobili
2016,IMU,187563.88,,,"Aliquota base, ammontare versamenti spontanei",Abitazione principale
2016,IMU,35706386.12,,,"Aliquota base, ammontare versamenti spontanei",Altri immobili
2017,IMU,208774.78,,,"Aliquota base, ammontare versamenti spontanei",Abitazione principale
2017,IMU,33830054.52,,,"Aliquota base, ammontare versamenti spontanei",Altri immobili
